id_avis;avis;note;id_eta;id_user
1;Très bon;4;2;12
2;Manque de convivialité;2;2;13
3;Serveur incroyable;5;3;15
4;Horrible service;1;1;1
5;Pain absolument dégueulasse;2;6;3
6;Attouchement par le serveur, je vais porter plainte !!!!!;1;3;6
7;Bon vodka redbull;5;8;4
8;Très bon bœuf bourguignon;4;6;5
9;En soirée étudiante jeudi soir dans ce bar, nous avons été de surprise en surprise durant la soirée jusqu'à aujourd'hui (3 jours plus tard) Début de soirée, tout ce passe bien, (tester le shot du mois qui est très bon) On commence à boire tranquillement, les bières ne sont pas chères mais 30e le mètre de shots ? Excessif, mais certes ils sont bons, cependant, le goût reste très amère lorsque je vois mon compte en banque ajd et que je vois que j'ai été débité 2 fois ! (le serveur m'avait annoncé que le premier paiement n'était pas passé.. À moi de réclamer le ticket d'abandon, à lui le gros pourboire..) Chose la plus étonnante de la soirée.. Le patron veut littéralement se battre avec un de mes amis, heureusement que nous étions là pour les séparer.. Il nous refuse donc l'entrée du bar alors que nous avions dépensé dans les 500e. Enfin bref, la qualité de l'offre et l'endroit rajoute une étoile, mais le service est minable, je déconseille fortement, je n'y retournerai pas.;1;9;4
10;Cool;5;3;17
