id_reservation;date;heure;nombre_ind;id_etat_resa;id_user_resa
1;05/07/2023;12:10;2;7;12
2;06/07/2023;13:10;3;1;8
3;07/07/2023;12:10;2;10;18
4;08/07/2023;13:10;4;1;3
5;09/07/2023;12:10;2;5;1
6;10/07/2023;13:10;5;2;8
7;11/07/2023;12:10;3;9;10
8;12/07/2023;13:10;5;2;7
9;13/07/2023;20:10;6;4;10
10;14/07/2023;21:10;3;4;7
11;15/07/2023;12:10;4;2;15
12;16/07/2023;13:10;2;1;17
13;17/07/2023;12:10;6;3;11
14;18/07/2023;13:10;7;9;1
15;19/07/2023;12:10;3;6;17
16;20/07/2023;13:10;4;8;9
17;21/07/2023;12:10;1;4;16
18;22/07/2023;13:10;5;10;15
19;23/07/2023;12:10;3;4;9
20;24/07/2023;13:10;2;8;19
